IP, IX_country, MM_country, IP_country, IP2_country, IX_city, MM_city, IP_city, IP2_city, IX_lat, MM_lat, IP_lat, ip2_lat, IX_long, MM_long, IP_long, IP2_long, IXMM_distance, IXIP_distance, IXIP2_distance, MMIP_distance, MMIP2_distance, IPIP2_distance, IXMMIPIP2_distance_agreement, IXMMIPIP2_country_agreement
216.187.118.246,US,CA,CA,CA,New York,Vancouver,Vancouver,Vancouver,40.717855,49.2526,49.2497,49.24966,-74.008879,-123.1236,-123.1193,-123.11934,49.850754168045,49.846021204317,49.84605376748,0.0051865209919587,0.0051760216382887,5.6568542492782E-5,0,0
64.125.30.179,US,US,US,US,Louisville,,Newark,Louisville,39.9469,37.751,40.7357,39.96642,-105.2142,-97.822,-74.1724,-105.1542,7.7114588535503,31.051820440676,0.063095407122866,23.837198120794,7.6595850159392,30.991349163249,0,1
23.58.123.209,US,US,CA,US,Cambridge,,Vancouver,Seattle,42.3626,37.751,49.2497,47.60621,-71.0843,-97.822,-123.1193,-122.33207,27.132479721728,52.488792817229,51.515331463604,27.78800980603,26.417204536987,1.822303611641,0,0
154.54.1.125,US,US,US,US,Atlanta,,Washington,Washington,33.76,37.751,38.9014,38.901566,-84.39,-97.822,-77.0504,-77.05078,14.012376850485,8.9612344082721,8.9610184209584,20.803432089922,20.803061851775,0.00041467577696955,1,1
154.54.26.42,US,US,US,US,Atlanta,,Washington,Washington,33.76,37.751,38.9014,38.901566,-84.39,-97.822,-77.0504,-77.05078,14.012376850485,8.9612344082721,8.9610184209584,20.803432089922,20.803061851775,0.00041467577696955,1,1
154.54.58.238,US,US,US,US,Atlanta,,Washington,Washington,33.76,37.751,38.9014,38.901566,-84.39,-97.822,-77.0504,-77.05078,14.012376850485,8.9612344082721,8.9610184209584,20.803432089922,20.803061851775,0.00041467577696955,1,1
154.54.24.138,CA,US,US,US,Vancouver,,Washington,Washington,49.25,37.751,38.9014,38.901566,-123.1,-97.822,-77.0504,-77.05078,27.770565082475,47.198084517489,47.197677367226,20.803432089922,20.803061851775,0.00041467577696955,0,0
154.24.30.82,CA,US,US,US,Vancouver,,Washington,Atlanta,49.25,37.751,38.9014,33.749,-123.1,-97.822,-77.0504,-84.38798,27.770565082475,47.198084517489,41.700137811288,20.803432089922,14.017449745243,8.9658968327993,0,0
154.54.83.226,CA,US,US,US,Vancouver,,Washington,Washington,49.25,37.751,38.9014,38.901566,-123.1,-97.822,-77.0504,-77.05078,27.770565082475,47.198084517489,47.197677367226,20.803432089922,20.803061851775,0.00041467577696955,0,0
154.54.9.10,US,US,US,US,Chicago,,Washington,Washington,41.88,37.751,38.9014,38.901566,-87.63,-97.822,-77.0504,-77.05078,10.996613342298,10.990905063733,10.990494297381,20.803432089922,20.803061851775,0.00041467577696955,1,1
184.105.213.242,US,US,US,US,Salt Lake City,,Salt Lake City,Fremont,40.75,37.751,40.7608,37.51798,-111.88,-97.822,-111.8911,-121.92949,14.374330071346,0.01548709139897,10.556429440891,14.387441428204,24.108616144866,10.549177946385,1,1
